id;name;description;price;stock;date_added;last_updated
1;Steel;Assistant;57374;81236;2024-06-30;2024-06-30
2;Consultant wireless Computer;reboot magenta THX;6602;88209;2024-06-30;2024-06-30
3;Centers Metal navigating;partnerships Infrastructure;91058;85179;2024-06-29;2024-06-30
4;withdrawal green;Bedfordshire Lao neutral;4184;16473;2024-06-30;2024-06-30
5;Computer CFP orange;Village;95487;35518;2024-06-30;2024-06-29
6;auxiliary;COM Implementation Awesome;52784;27331;2024-06-30;2024-06-30
7;Rubber Chips;Keyboard;88935;46377;2024-06-30;2024-06-30
8;tangible;Cheese Renminbi;33734;99001;2024-06-30;2024-06-30
9;Underpass project hacking;Arizona mobile;44109;86012;2024-06-30;2024-06-29
10;Data;sticky Harbors Automotive;41021;62316;2024-06-30;2024-06-30
